"ComAreaID,N,18,0","community,C,254","TRACTCnt,N,18,0","shape_area,N,33,31","shape_len,N,33,31","Pop2012,N,18,0","Pop2014,N,18,0","PopChng,N,18,4","PopM,N,18,0","PopMP,N,18,4","PopF,N,18,0","PopFP,N,18,4","Under5,N,18,0","Under5P,N,18,4","Under18,N,18,0","Under18P,N,18,4","Over18,N,18,0","Over18P,N,18,4","Over21,N,18,0","Over21P,N,18,4","Over65,N,18,0","Over65P,N,18,4","Wht14,N,18,0","Wht14P,N,18,4","Blk14,N,18,0","Blk14P,N,18,4","AI14,N,18,0","AI14P,N,18,4","AS14,N,18,0","AS14P,N,18,4","NHP14,N,18,0","NHP14P,N,18,4","Oth14,N,18,0","Oth14P,N,18,4","Hisp14,N,18,0","Hisp14P,N,18,4","Property_C,N,18,0","PropCrRt,N,18,4","Violent_C,N,18,0","VlntCrRt,N,18,4","PerCInc14,N,18,0","PPop14,N,18,0","Pov14,N,18,0","field_37,N,18,4","ChldPov14,N,18,0","NoHS14,N,18,0","HSGrad14,N,18,0","SmClg14,N,18,0","ClgGrad14,N,18,0","LaborFrc,N,18,0","Unemp14,N,18,0","Pov50,N,18,0","Pov50P,N,18,4","Pov125,N,18,0","Pov125P,N,18,4","Pov150,N,18,0","Pov150P,N,18,4","Pov185,N,18,0","Pov185P,N,18,4","Pov200,N,18,0","Pov200P,N,18,4","COIave,N,18,4","HISave,N,18,4","SESave,N,18,4","Hlitave,N,18,4","BirthRate,N,18,4","FertRate,N,18,0","LoBirthR,N,18,0","PrenScrn,N,18,0","PretBrth,N,18,4","TeenBirth,N,18,4","Assault,N,18,4","BrstCancr,N,18,4","CancerAll,N,18,4","Colorect,N,18,4","DiabetM,N,18,4","FirearmM,N,18,4","InfntMR,N,18,4","LungCancer,N,18,4","ProstateC,N,18,4","Stroke,N,18,4","ChlBLLS,N,18,4","ChlLeadP,N,18,0","GonorrF,N,18,4","GonorrM,N,18,4","Tuberc,N,18,4"
30,SOUTH LAWNDALE,18,127998297.867,49904.0452102,79288,72881,-4.2105,41178,56.5003,31703,43.4997,7226,9.9148,20824,28.5726,52057,71.4274,47699,65.4478,4598,6.3089,47161,64.7096,8951,12.2817,594,0.815,258,0.354,81,0.1111,16521,22.6685,61499,84.3828,1177,0.0161,1571,0.0216,193565,64668,23970,37.0662,10416,19835,9212,5040,2252,29153,4519,5033,7.7828,31063,48.0346,37725,58.3364,44061,68.1342,46276,71.5593,-0.5302,59.0582,52.5875,246.2687,19.5,94,7,85,9.6,77.5,11.1,13.2,127.4,9.2,65,8.6,5.9,15.9,32.7,37.3,605.9,0,289.5,106.8,7.9
31,LOWER WEST SIDE,11,81550723.6377,43229.3727036,35769,34979,-1.1166,18160,51.9169,16819,48.0831,2516,7.1929,8838,25.2666,26141,74.7334,24643,70.4508,2852,8.1535,19844,56.7312,1812,5.1803,106,0.303,644,1.8411,4,0.0114,13418,38.3602,28661,81.9377,710,0.0203,719,0.0206,211370,34975,10141,28.995,3449,7733,5688,3903,4720,18968,2716,1791,5.1208,13378,38.2502,16424,46.9593,19785,56.569,21291,60.8749,0.0451,47.6795,56.5834,241.8234,16.5,68,4,80,8.8,49,11.7,27.2,141.3,11.9,61.9,11.7,5.4,27.8,14.3,39.2,589,0,92.3,78.7,11.4
33,NEAR SOUTH SIDE,3,49769639.4541,45053.1651038,21390,22021,1.4535,10755,48.8397,11266,51.1603,1715,7.788,3087,14.0184,18934,85.9816,18756,85.1732,2097,9.5227,11309,51.3555,5978,27.1468,107,0.4859,4781,21.7111,0,0,810,3.6783,1424,6.4666,740,0.0336,466,0.0212,161134,21835,2153,9.8603,295,1063,1314,3032,11932,15490,746,820,3.7554,2555,11.7014,3193,14.6233,4039,18.4978,4141,18.965,0.5751,25.8082,60.1307,248.5042,21.4,72,8,78,10.9,50.9,4.8,31.9,169,19.2,61.5,6.6,4.8,46.2,51.4,52.4,301.3,0,300.6,318.7,5
34,ARMOUR SQUARE,5,27766196.0954,31948.5988398,13391,13850,1.685,6928,50.0217,6922,49.9783,540,3.8989,2732,19.7256,11118,80.2744,10600,76.5343,2572,18.5704,2300,16.6065,1592,11.4946,188,1.3574,9911,71.5596,65,0.4693,215,1.5523,543,3.9206,358,0.0258,359,0.0259,76135,13849,5168,37.3168,1017,3285,2990,1419,2051,7063,1066,960,6.9319,6815,49.2093,7440,53.7223,8331,60.156,8569,61.8745,0.0382,51.5364,46.8484,250.998,11.5,57,12,79,11.8,16.2,1.8,10.7,162.9,23.1,42.5,1.8,1.5,54.3,17.2,38.7,490.3,0,222.6,218,22.7
10,NORWOOD PARK,8,121959105.47,80368.3743778,36742,40202,4.4968,19811,49.2786,20391,50.7214,2687,6.6837,8555,20.4338,33312,79.5662,32352,77.2733,8059,19.2491,38873,92.8488,643,1.5358,116,0.2771,2206,5.2691,20,0.0478,898,2.1449,4991,11.9211,455,0.0113,276,0.0069,282798,41350,2508,6.0653,434,2290,7950,9365,10801,22117,1856,687,1.6614,3127,7.5623,4681,11.3204,6590,15.9371,7324,17.7122,0.675,30.5915,63.0269,246.9075,10.4,59,4,89,8.3,3.4,4.7,20.7,180.8,18.9,47.3,8.7,4.4,44.5,26.4,45.2,163.1,0,0,0,1.6
8,NEAR NORTH SIDE,20,76675895.9728,57293.1649516,80484,84305,2.3187,38841,46.072,45464,53.928,3590,4.2583,6333,7.512,77972,92.488,76409,90.634,12685,15.0466,64868,76.9444,8842,10.4881,561,0.6654,10016,11.8807,94,0.1115,1861,2.2075,4828,5.7268,4458,0.0529,1630,0.0193,1667979,82732,10575,12.7822,1618,1641,3800,9691,54918,57567,3831,3650,4.4118,12633,15.2698,14198,17.1614,16084,19.4411,16866,20.3863,0.7295,18.8878,61.2611,242.4924,10.7,35,8,69,9.6,34,3.7,24,142.7,15.1,27,3.2,6.5,33.6,15.1,22,311.2,0,244.4,235.8,5.5
32,LOOP,5,46335565.4586,39428.6729962,29283,30642,2.2678,15210,49.6378,15432,50.3622,1330,4.3404,1943,6.341,28699,93.659,26105,85.1935,2556,8.3415,21068,68.7553,3963,12.9332,281,0.917,5587,18.2331,59,0.1925,564,1.8406,1823,5.9494,4153,0.1355,1195,0.039,315345,27164,3720,13.6946,234,406,1077,3035,18117,19674,923,1057,3.8912,3939,14.5008,4214,15.5132,4562,16.7943,4745,17.468,0.7586,18.4254,59.8792,256.724,9.4,27,5,78,6.9,1.3,0.7,20.2,120.1,10.8,26.8,4,5.7,29.2,17.2,39,297.3,0,129.9,200.5,6.5
43,SOUTH SHORE,15,81812716.3958,44249.6461173,49767,48816,-0.9647,21264,43.5595,27552,56.4405,3622,7.4197,11844,24.2625,36972,75.7375,34749,71.1836,6144,12.586,1504,3.081,46914,96.1037,577,1.182,281,0.5756,98,0.2008,600,1.2291,1000,2.0485,2409,0.0493,3026,0.062,279629,47892,16987,35.4694,5761,4294,8056,11868,6826,23339,5283,4390,9.1665,19640,41.0089,22305,46.5735,26010,54.3097,27377,57.164,-0.043,42.0619,53.1667,250.5231,15.7,67,13,71,13.4,65.9,33.4,32.4,246,25.1,95.4,30,11.4,70,54.8,53.2,470.3,1,1718.6,1357.1,11.7
44,CHATHAM,10,82320670.3112,42006.9450094,31028,31493,0.7438,13676,43.4255,17817,56.5745,1969,6.2522,6967,22.1224,24526,77.8776,23357,74.1657,4866,15.4511,411,1.3051,31095,98.7362,125,0.3969,97,0.308,19,0.0603,132,0.4191,230,0.7303,1590,0.0505,1927,0.0612,202740,31348,8292,26.4514,2515,2837,5888,7479,5510,15233,3445,1801,5.7452,10174,32.455,11777,37.5686,14624,46.6505,15349,48.9633,0.002,44.1293,55.9258,248.0546,14.4,71,15,72,15.6,68.2,45.2,41.9,213.5,24.1,73.2,37.9,10.9,51.5,47.9,50.3,418.3,0,1896.3,1855.8,8.2
45,AVALON PARK,2,34852737.7366,27630.822534,10185,10098,-0.4289,4784,47.3757,5314,52.6243,287,2.8421,1882,18.6374,8216,81.3626,7983,79.0553,2032,20.1228,278,2.753,9794,96.9895,23,0.2278,51,0.5051,0,0,10,0.099,59,0.5843,361,0.0357,436,0.0432,47010,10028,1818,18.1292,545,764,1715,3174,1635,4929,1095,683,6.8109,2247,22.4073,2781,27.7323,3524,35.1416,3652,36.418,0.0489,38.7102,59.3636,247.7146,13.3,69,19,74,14.6,63.9,22.1,33.8,239.6,27.7,83.9,18.5,11.4,57.9,45.1,44.5,434.8,0,1139.9,2059.9,1.9
